hour,Sum of Estimated_Duration,Sum of month,Sum of day,weekday
6,33974.75669491477,4492,10823,Wednesday
20,33001.202465125156,10440,27118,Saturday
7,32413.580201476292,3048,7461,Saturday
23,31955.102192383663,8465,20531,Wednesday
6,31231.74975988821,2091,5137,Saturday
1,30968.85566109245,2643,6419,Monday
5,30705.040906100447,1812,5087,Thursday
2,30257.202756430925,2534,5775,Thursday
5,30069.541114667627,1536,3733,Monday
5,29889.492195330324,1532,3860,Wednesday
2,29823.317075839026,2302,5885,Wednesday
6,29625.407752520714,1739,4007,Sunday
4,29177.107019293908,1222,2965,Wednesday
2,29078.876290540204,1762,4063,Tuesday
3,28860.430872703637,1808,4134,Thursday
3,28269.05796066731,1144,2900,Monday
6,25613.768279510572,4153,10423,Monday
2,13669.758099514189,7675,19559,Saturday
12,13419.007770204049,9037,22204,Thursday
15,13041.73204478467,8752,22024,Friday
7,12768.280237417135,7819,19989,Friday
7,11226.966683017772,7091,17682,Monday
3,9943.622919876863,5697,14258,Saturday
0,9795.792283981955,5364,13571,Wednesday
1,6701.032584946088,3650,9084,Thursday
8,6605.272269449815,4233,10420,Saturday
2,6502.145478998681,3793,8716,Friday
8,6122.49541169561,3183,7839,Sunday
7,5786.3772279893465,2153,5224,Sunday
1,5384.41801995691,2708,6541,Tuesday
3,5050.50917361996,2716,6851,Friday
5,5028.025726632235,1976,4823,Saturday
5,4723.141259443596,1864,4518,Sunday
4,4392.622271084461,2015,4826,Friday
2,3286.1216399801933,1665,4391,Monday
4,3054.7552830488007,1525,3393,Thursday
4,2989.3222988499033,1110,2629,Monday
3,2962.6359595838626,1350,3560,Wednesday
4,2118.110786217202,980,2117,Tuesday
3,1999.3915527869242,1039,2445,Tuesday
